iter,cohort,case,PTEN,EGF_nM
iter 1,CNT,Case0,561,0.01
iter 2,CNT,Case0,561,0.01
iter 3,CNT,Case0,561,0.01
iter 4,CNT,Case0,561,0.01
iter 5,CNT,Case0,561,0.01
iter 6,CNT,Case0,561,0.01
iter 7,CNT,Case0,561,0.01
iter 8,CNT,Case0,561,0.01
iter 1,CNT,Case1,5610,0.01
iter 2,CNT,Case1,5610,0.01
iter 3,CNT,Case1,5610,0.01
iter 4,CNT,Case1,5610,0.01
iter 5,CNT,Case1,5610,0.01
iter 6,CNT,Case1,5610,0.01
iter 7,CNT,Case1,5610,0.01
iter 8,CNT,Case1,5610,0.01
iter 1,CNT,Case2,11220,0.01
iter 2,CNT,Case2,11220,0.01
iter 3,CNT,Case2,11220,0.01
iter 4,CNT,Case2,11220,0.01
iter 5,CNT,Case2,11220,0.01
iter 6,CNT,Case2,11220,0.01
iter 7,CNT,Case2,11220,0.01
iter 8,CNT,Case2,11220,0.01
iter 1,CNT,Case3,22440,0.01
iter 2,CNT,Case3,22440,0.01
iter 3,CNT,Case3,22440,0.01
iter 4,CNT,Case3,22440,0.01
iter 5,CNT,Case3,22440,0.01
iter 6,CNT,Case3,22440,0.01
iter 7,CNT,Case3,22440,0.01
iter 8,CNT,Case3,22440,0.01
iter 1,CNT,Case4,28050,0.01
iter 2,CNT,Case4,28050,0.01
iter 3,CNT,Case4,28050,0.01
iter 4,CNT,Case4,28050,0.01
iter 5,CNT,Case4,28050,0.01
iter 6,CNT,Case4,28050,0.01
iter 7,CNT,Case4,28050,0.01
iter 8,CNT,Case4,28050,0.01
iter 1,CNT,Case5,33660,0.01
iter 2,CNT,Case5,33660,0.01
iter 3,CNT,Case5,33660,0.01
iter 4,CNT,Case5,33660,0.01
iter 5,CNT,Case5,33660,0.01
iter 6,CNT,Case5,33660,0.01
iter 7,CNT,Case5,33660,0.01
iter 8,CNT,Case5,33660,0.01
iter 1,CNT,Case6,44880,0.01
iter 2,CNT,Case6,44880,0.01
iter 3,CNT,Case6,44880,0.01
iter 4,CNT,Case6,44880,0.01
iter 5,CNT,Case6,44880,0.01
iter 6,CNT,Case6,44880,0.01
iter 7,CNT,Case6,44880,0.01
iter 8,CNT,Case6,44880,0.01
iter 1,CNT,Case7,56100,0.01
iter 2,CNT,Case7,56100,0.01
iter 3,CNT,Case7,56100,0.01
iter 4,CNT,Case7,56100,0.01
iter 5,CNT,Case7,56100,0.01
iter 6,CNT,Case7,56100,0.01
iter 7,CNT,Case7,56100,0.01
iter 8,CNT,Case7,56100,0.01
iter 1,CNT,Case8,561,0.03
iter 2,CNT,Case8,561,0.03
iter 3,CNT,Case8,561,0.03
iter 4,CNT,Case8,561,0.03
iter 5,CNT,Case8,561,0.03
iter 6,CNT,Case8,561,0.03
iter 7,CNT,Case8,561,0.03
iter 8,CNT,Case8,561,0.03
iter 1,CNT,Case9,5610,0.03
iter 2,CNT,Case9,5610,0.03
iter 3,CNT,Case9,5610,0.03
iter 4,CNT,Case9,5610,0.03
iter 5,CNT,Case9,5610,0.03
iter 6,CNT,Case9,5610,0.03
iter 7,CNT,Case9,5610,0.03
iter 8,CNT,Case9,5610,0.03
iter 1,CNT,Case10,11220,0.03
iter 2,CNT,Case10,11220,0.03
iter 3,CNT,Case10,11220,0.03
